Unnamed: 0,Name of the hotel,Weighted value,Latitude,Longitude,Type,City,Cost,Link,Reviews,sentiment_score,Cluster
19,Royalton Hotel,3496.0,17.43887,78.36377,Hotel,Hyderabad,5429,https://www.tripadvisor.in/Hotel_Review-g297586-d1785231-Reviews-Royalton_Hotel-Hyderabad_Hyderabad_District_Telangana.html,"Had stayed from 29.1.23 to 31.1.23 had booked privilege room. Hotel was top class with nice lobby and service too top class .Rooms all was nice and washrooms too.For breakfast they have an impressive ala carte menu to have for. I would really recommend travelers this hotel to stay..We check in at morning after fresh n up we informed front office team to clean our room once back in evening after a hectic day checked it was not done yet informed front office they said you might put the DND what's the point of saying all these as a courtesy our number is there on Reg Card can call us for check but no response not up to the mark. Front office Manager or may be GM Good at morning at the time of check in.Mr Amit Saini, Hotel reception front desk person was very courteous, good Atticates and friendly person..Guide us the way to hang out for good places.. Hospitality was superb.. would recommend my friends, family and others .. Excellent and nice place to stay...A positive experience. To make us more comfortable, Mr. Dasmat upgraded our standard room to a premium room. The restaurant's food was excellent as well. The staff at this hotel were really helpful and polite.We booked 6 rooms for my family,n Mr.Dasmat upgraded standard room to suit room to us,that our entire family was stayed on same floor.He was helped us in our entire stay. Food at restaurant was very tasty.Pleasant stay Polite staff Excellent service Perfect location Clean rooms Please visit this place with your family and friends It's in the heart of the city Karachi bakery charminar and much more 👍👍Nice hospitable and polite staff. Quick check. Food quality also good.. Breakfast also havimg lot of variety. Valet Parking available. Cosy bar also available to unwind at the end of the day. Good stayThanks alottt for the best services….rooms are spacious with neat and clean environment around….wishing to visit again in near future to the hotel. The hotel also provides near access to all the great places to visit which is also good of staying here.I have stayed in this hotel multiple time and the high quality of service and attention to detail remains. The staff is amazing the rooms have been comfortable and immaculate. In past year I stayed in The park Hyderabad hotel I find Royalton is much better than any other hotels, I must say that everything was excellent as always. The location of the hotel is close to my destination as well as some others business centers in the city. I would definitely recommend this hotel to others having a business trip or family vacations or destination wedding or reception it’s perfect for any occasions. Special thanks to Hotel Manafer Mr. Srinivas Sir, who had arrange in all sold out days one executive room for me. Thank you so much Sir really appreciate your effort and kindness…Clean rooms.. friendly staff food restuarant was clean hygienic .. the breakfast was complimentary and there was huge variety of food.. n alll of them were very tasty..nice ambiance in the Looby.. with capsule life...",0.58,1
20,Ibis Hyderabad HITEC City Hotel,3154.5,17.39325,78.47391,Hotel,Hyderabad,5263,https://www.tripadvisor.in/Hotel_Review-g297586-d10255950-Reviews-Ibis_Hyderabad_HITEC_City_Hotel-Hyderabad_Hyderabad_District_Telangana.html,"Good hotel to stay. Jugendra Singh house keeping is good and cooperative with the customers. Room cleaning is very good. Laundry is also good. Bathroom cleaning and serving is very good. Excellent service.Ibis Hyderabad peovided a very nice warm servuce. The receptionist, Mukesh is very helpful and he helps me with calling for courier service as well.. IT guy is also very helpful in setting up internet connection, too.. Breakfast is also superb!We stayed in ibis for 2nights and the service were given from each department was am amazing. And the ambience of the restaurant was good. In breakfast spread was good and different types of dishes are there. And the dinner as well and the food was amazing. And the check in process were done smoothly. I Thank to each department from front office sreejana and from restaurant Manoj, badhri and shiva and housekeeping from dharani.Went for a dinner party with friends, love the hospitality especially Badrinath, manoj vibavh was superb and helpful at the same time. And the food was amazing. And prices were affordable. Alfresco area was superb ant. Totally I loved it.We went for dinner and we really enjoyed. Good was also amazing and the ambiance of hotel was also good. Specially badri,vibhav,akash and Manoj was very friendly and polite. Thankyou for good service.we will come again soon.We came dinner with friends we had buffet the food is so yum and price for buffet is affordable and upto mark I would like to thank me vibhav and badhrinath for their hospitality also I would like to mention reception is so good.I was here for a business trip for 3 days. The stay was too comfortable. The breakfast the buffet spread was too awesome and foods are so yummy 😋 . The restaurant staffs are so help full specially Mrinmoy, badri they helped me a lot during my stay. And i would like to maintion chef sraddha who feeds us very yummy dosa everyday. Thank you guys for the hospitality.I visted to Ibis resturant spice it and went for buffet spread and the food was amazing and the alfresco view was amazing. And staff are friendly nature I would like to mention this people Manoj, sandeep, shivaThey do housekeeping daily and makes the room very clean. Always ready to help. Especially my room floor house keeping is done by Jogender singh from house keeping team, and they ways ready to help at any time.I came for a corporate event. Everyday when I entered my room at night, I used to find my bed was done, ready for me to go to bed after a tiring day. I liked this very much. Towel was also changed everyday. One day, we had small party at the dining area and there was a guy named Mrinmoy who really served us well. He was very cooperative. You should have people like him in the hotel.",0.6,0
21,Katriya Hotel & Towers,3153.5,17.4032,78.452988,Hotel,Hyderabad,2681,https://www.tripadvisor.in/Hotel_Review-g297586-d583459-Reviews-Katriya_Hotel_Towers-Hyderabad_Hyderabad_District_Telangana.html,"We reached hotel by 10am. Hotel denied early check-in and demanded additional amount of Rs 1600. Room appears quite old and not well maintained. No secured wifi access. No one responded to our call. Only one lift was working, resulting in lot of wait time. No hand shower in toilet. TV did not switch on and had loose connection. Very limited channels (No sports channel). By default, no towel & other accessories in bath room. We had to call room service for each and every thing. Poor lighting. Overall, least VALUE for the money paid. Not a good experience.I have visited this hotel 4 times in every of 3 months All services and staff and rooms are West of money, Every 2 months they changing the rules Waiting from 3 hours for drinking water. No body is giving and 2 complimentary botters and other are chargeable. No lights in rooms only lamp. Air conditioner is also not working properly every time. Right I have call the staff for plates they Sayed it's chargeable 210 ruppes. I think need some treat. Hope trip advisor will do somethingReached at hotel at midnight, early than we supposed to do. We had our reservations on next day. At 3:00 O'clock at night on 10 Dec 2022 , they didn’t show us any sympathy nor any support. They didn’t allow us to sit at lobby. Moreover they pushed us to move away to other hotels. As we were foreigners, so it was very embarrassing for us to move anywhere at 3 0'clock in an unknown city. We hope no foreigner should have such a horrible experience. What a Hyderabadi reception.I stayed at Katriya Hotel due to my business trip. My booking was taken by Mr Shomit. I wanted to have good rooms and it was given 7th floor as commited during booking. Initially the telephone was not working but IT person immediately rectified it. Mr Murli was very help at reception counter. Food was tasty at restaurant. I suggest, breakfast menu should be more. The day of checkout few customers were shouting at lobby as they did not get hot water and same was in my room. I suggest management should look into the maintainance part of the hotel. I will surely visit once again.One of my worst experience, everything is bad in this hotel. From the room condition to good quality to room service, everything is worst in this hotel. Can you imagine a hotel who doesn’t have matchbox ?I have booked a hotel through Agoda.com after reviewing from the site of the hotel Katriya room pictures and details in Hyderabad city for 24th June to 26th June. Total 5 rooms booked for 3 nights. The moment when we entered the room, we have realized that we got cheated. The filthy room and corridor, poor bathroom with ugly toilets, there is no basic items like bucket and Mug, tea bags, sugar, kettles, etc.. The issue was the toilet, one of the worst toilet ever seen in my life is in Hotel Katriya Hyderabad. We have went back to reception and asked them to change the room and they refused. I have asked for the refund so that we can find any good hotel but the answer was to contact the booking site customer care since it was booked online,which is not in India and we couldn't…We came as a family for a day's stay in this hotel. We were given room no 407 first. The room was in a poor condition with nothing working. Geyser, the water boiler, the exhaust in the washroom all were in non working condition. Inspite of repeated requests no one turned up to help us out with it. Finally after complaining to the manager they changed our room to 421. But the sad part was this room was no better than the previous one. With even the intercom phone in non working condition. Very poor response from the staff. They are very casual and absolutely not bothered about guiding us with the things. Breakfast buffet was fine with not too exorbitant prices. Would tell my friends and relatives to never book this hotel. No value for money.Extremely happy with my stay, Well maintained hotel, clean room, perfect location,All the staff i spoke with were helpful Housekeeping staff is very Professional,Dharini and Jugender is very helpful & Room cleaning is up to the mark. Looking forward to my next visit.im dead serious . i have stayed in this hotel for six days and those days at the hotel was horrible , the key cards would not work , the room ac would not work and the service was terrible . please choose any place other than here . the food there was somewhat ok but there was not much to order from . and the bathroom is terrible , this is a 100 percent valid review. strongly disagree with their policy.Booking itself is a crap. I booked 2 rooms and they allowed only 2 adults. It doesn’t make any sense, by default it should take 4 people when I booked 2 rooms. I had to pay 2k extra for the other 2 people. Develop your website before getting into the business. And it’s non refundable too.",0.2,0
22,Mrugavani Resort & Spa,2839.5,17.4646,78.36663,Hotel,Hyderabad,5493,https://www.tripadvisor.in/Hotel_Review-g297586-d8364649-Reviews-Mrugavani_Resort_Spa-Hyderabad_Hyderabad_District_Telangana.html,"We were here to attend our nephew half saree ceremony ,the ambience was good ,rooms was neatly maintain and service was really good. The food served during the event was good . We really like the way they maintained the resortWe had our daughter’s Sangeet 🎶 on 15th Dec at Mrugavani where the ambiance is splendid and Hotel staff are very courteous in taking care of the guests! Special thanks to Sravanthi Sanjay Dilip Surya n other team members who made the event a memorable one for our family n friends.Wonderful place for weekend relaxation,great ambience,great food and service,great hospitality clean and well maintained rooms.Special Thanks to Krishna,Anand,Amar,Melbin,Anushka,Geethanjali,Veena,Khushi who helped us during our group check in and throughout our stay,Nice lobby music and the sound of birds is a welcome change from city busy traffic.Everone of my family enjoyed and loved the resort.Highly recommended.We booked resort for my family wedding group came from Andhra and Tamilnadu everyone appreciate the resort facilities as well food and service.Special Thanks to Chef Prabhakar garu for a nice menu and tasty food.Rooms are so good and lavish.Enjoyed lot on Sangeeth and wedding.Room cleaning so good and hygienic.Beautiful greenery and peaceful place.Well recommend for wedding this place.Finally best hospitality given by staff and Management Special Thanks to Mr.Jagan Mohan Reddy garu heartfully as well Sanjay,Mahender,Krishna,Anand,Surya,Satyanarayana,Prathyusha.Mrugavani is a best wedding destination place,that is surrounded by lush green nature,very beautiful view of cottages,no words about the team, incredibly helpful staff, ,delicious food to serve you, thank you for your team's efforts in making our wedding so special,you provided us with such an amazing event,their team truly are the best especially sanjay garu Gm, pratusha,really they are dream team, special heartfelt thanks to jagan mohan reddy garu, magnanimous personality, no words about his help,reciprocation..very patient, responsive personality, we absolutely recommend them without hesitation,thank god we met the best team,we love you jaganmohan teddy garu, we are forever greatful ..with regards dr madhu varanasiI visited with my wife and two kids 12 years and 4 years for lunch at mrugavani resorts around 1.15 pm today 04/12/22 Sunday .The way the dinning staff received was horrible and would suggest to my dear friends NOT to visit to this resort who are planning to go for this resort .We left immediately with my kids with out having a sip of water even though my kids were very hungryLate Post! But didnt want to miss it. We booked the entire Mrugavani Resorts for two days for my wedding. We were extremely satisfied with the arrangements and coordination. Our guests loved the place, the hospitality and the food. As soon as we visited the resort, we loved it and wanted to book it for the wedding as the place is neatly spaced, has great ambiance and vibe. We coordinated with Pratyusha for doing this booking. Initially we were a little displeased with the communication flow. The dates were not taken properly, we had to change it later. Also, there was an issue with the food arrangement. However, closer to the event. Everything was sorted. Although our coordinator was not available for the wedding due to personal reasons, she ensured to be on-call and briefed…We are coming here for day outing, our company name HCL We are enjoying here , the food and the staff are very good. Special thanks to Ms Anushka and Mr Satya for explaining us and for giving us a lovely memories.. Thank you team mrugavaniVery nice place to hangout with family , very clean and nicely maintained food is good, excellent restaurant team. Over all experience is amazing, thanks to team Mrugavani for all their support in making my stay comfortable and memorableThe most appreciated in Mrugavani is an eco friendly. Our family enjoyed every bit of the resort. Delicious food and excellent service n the restaurant. Big swimming pool, play areas for both kids and adults. Most economical rates for Day out and for stay as well. Will definitely recommend to everyone.",0.56,1
23,Fairfield by Marriott Hyderabad Gachibowli,2065.5,17.42628,78.45714,Hotel,Hyderabad,6491,https://www.tripadvisor.in/Hotel_Review-g297586-d16742519-Reviews-Fairfield_by_Marriott_Hyderabad_Gachibowli-Hyderabad_Hyderabad_District_Telangana.html,"It was a very good stay. The staff are amazing. Have to call out Sagar from Housekeeping for his exemplary customer service attitude. Fantastic stay. The Breakfast spread was pure indulgence. The scrambled egg was out of the world. The suites are very spacious and fantastic for long stays. Highly recommended.Best service by Marriott room was very good cleaned nicely good view. Coming to the breakfast it was superb nicely spread breakfast. Staffs are very polite. Thanks to my friend Dipayan who took care of everything from accomodation till check out also thanks to Anandit Mohit and team for the towel art in my room and Varsha who has made up my room. Also kailash who helped me at check in. Last but not the least Prachi who has welcomed me nicely. Thank u all for the service felt like home away from home.One of the finest hotels in Hyderabad. The hotel stay experience was great. Room services are accessible at ease and response is very quick. Room interiors look elegant and maintenance was neat. The staff and management is very helpful, especially Vamshi. Overall, one of the best hotels to stay at.Very Good and polite front office staff Specially vamshi, abhishik ,with a great hospitality. Hotel is very beautiful with many recreation facilities. Food is very tasty and reasonable.Thank you once again for your amazing hospitality.It was very good experience during my stay in Fairfield by Marriott, Hyderabad in Feb. Special thanks to Rekha, Siva and Pradeep for wonderful services. Looking forward to visit again. Thanks, M RameshI have stayed in hotel for 2 nights along with my family .very supportive staff especially sagar ,danunjay who made my stay much memorable .nice view from room . One of the best memorable thing which i have face was a hand written notes along with the towel atr which made by staff . Vist definitely visit againVery supportive staff especially Rekha and Vamsi are helped us alot appreciate the support and hospitality. Very comfortable stay due the hospitality provided by all staff. Rekha and Vamsi is very polite and understanding the customer position. Location of the property is perfect to meet all our requirements. Thank you again for making our stay comfortableThanks to Ms. Swarupa, she was wonderfully welcome and polite in service. Feeling Amazed!! Visit again for taking wonderful service. Great ambiance, and delicious food. Regards Ankit Tyagi DeloitteMy friend and I had such an enjoyable time at this Hotel. Nehru and his team are outstanding at the business of hospitality. From the welcoming team at checkin, to the room attendants and food staff, everyone is at the top of their game. I have stayed at Ritz Carlton’s locations, whose staff were not at the caliber of Mr Nehru’s staff. Bravo to an outstanding group of professionals. The food on site is excellent and the meeting room is very nice and private. I look forward to coming again.Excellent hotel. Great service and friendly staff. Special thanks to Rekha and Siva. Rooms are decent and comfortable for a short stay. Overall good hospitality, food, service and centrally located . .",0.72,0
82,Grand Kakinada - By GRT Hotels,3910.5,17.05087,82.26495,Hotel,Kakinada,6156,https://www.tripadvisor.in/Hotel_Review-g1584832-d8626444-Reviews-Grand_Kakinada_By_GRT_Hotels-Kakinada_East_Godavari_District_Andhra_Pradesh.html,"Service staff was excellent especially reviving Ms Satya very warm welcome and service by and Ms gangs andMr Tarun they did good job I am very proud of here F&b Staff food was also nice 👌 Manager also very fine here staff was cool awesome team GRT hotel I recommend food and stay is super hereexcllet service by Mr venkatesh and Ms soujanya an Ms ganga they doing fantastic job they service and food excllent thank u team amzing service and Mr velmurgan the resturant maneger did excllent job by their teamVery happy to have dinner here with my family i thought this is my home they treat like that Mr velmurgan and Mr sittlu they are very friendly with us thank u grt grand we visit again love all thank uThe service was excellent by Mr Venkatesh and Ms Ganga they did excellent job I think they explained everything in restaurant about food was good they very humble to us and they care all guest with smile with excellent patient and some people also dance in garden cafe especially Ms sowjanya dance was very nice and cute thank u grtI am came with my friends they are new Kakinada I took them Sunday dinner in garden cafe they was very happy with service and food especially Mr Venkatesh and Ms Ganga they given excellent service to us they way off talking and behaving excellent we are impress with them lastly Mr Kumaresan came and talking excellent with us our friends was very impressed thank service team thank u grt we come again we expect these type of peopleDont know where should i start becoz everything was so perfect there the vibe the location the atmosphere..my sister chose the place for our 1st wedding anniversary n gave us the surprise ❤️it was all perfect …the food is very very delicious n the presentation of the food is so good amazing experience hats off to the chef for the dessert platter which took my heart ..and staff were very amazing n kind n hospitable becoz of them we had a good time there ..they arranged everything so well special thanks to Sangeeta ma’am n Manoj sir for the amazing experience ..❤️would like to visit this place again soon 😊We had dinner for 2 days in GRT Kakkinada . It was a great experience good was very tasty and they had a wide spread of choice for the buffet. Staff was very friendly and especially I would like to thank Mr Kumaresan for his hospitality . Also the Chef was too good to us.People friendly and helpful. Great help from Kumaresan, Sumatra, and Ajmatkhan. Provided great help! Enjoyed the food. Nice clean rooms. Helpful people. I was on a trip visiting friends. Hotel was recommended. Needed help selecting food and staff helped make selection. (Not used to Indian foods). Hotel is very clean. Laundry service speedy. Just had a real nice experience here at the hotel!Good hotel, i have Been staying many times for my business visit through Company Grt staff hás never compromise anywhere for any guest related serivce Sepical mention should bê mr. Kumaresan & sumitra. Thanks tô entre tem of grtIt was good hospitality and enjoy the precious room. And nice cafeteria And reception Priya give the good guidance towards the hospitality. What i suggestion is required more space in the rooms Room is very congested for family.",0.72,2
83,Paradigm Sarovar Portico,3186.0,16.95373,82.23454,Hotel,Kakinada,5600,https://www.tripadvisor.in/Hotel_Review-g1584832-d2324130-Reviews-Paradigm_Sarovar_Portico-Kakinada_East_Godavari_District_Andhra_Pradesh.html,Food was really amazing and staff is very courteous. Loved the place. Great vibe and ambient lighting. Could work on the portion sizes. Had a great time with my husband. Perfect place for a date. Great service.Here for a night. The rooms are spacious and well-appointed. Located in the centre of the city as well. The staff members are quick in terms of service and warm in terms of approach. Bright neighbourhood with plenty of well-lit shops in the vicinity .Food quality was good. Nice gesture by Durga keep smilng always . Vegetarian collection can be improved to add more varieties. Otherwise rest is good. Need to consider discount for the first timers. Keep upVery good food. Durga hostess was very polite. The order was taken care in a quick manner. It was a very good experience. And keys is serves well manner Atmosphere and ambience is good Nicely done my dinner at cityviewMoctail is delectable Servers are soo friendly Delicious food Ms durga suggest for moctail prepared by Mr chandan thqs for ur great service Then ambience also we enjoyed a lts ur frndly nature Food is really good Well plesent Nice looking staffingGreat experience. Rooms are good. Foods are very delicious. Bar is great. Very very good. Especially city view is good Am mentioning missDhurga Is really actively speaking and actively resonpnd. ...This is my second time stay at Kakinada. First time at another place and now at Tripadvisor and I see the big different between two. It is no doubt that Tripadvisor is very eccellent and feel very cozy like home. Room services restrarant and foids are very tasteful and heathy. miss dhurga is taking care about us nicely and friendly thankfor ur srviceGood ambience and nice service.. We ordered spider panner was really good And Butter chicken and mogali biryani taste was really awesome Then we can peacefully had a dinner without any invoice Then staffing also too good Customer handling really awesome thank u Durga and KeyaNice food and service. Good reciving and good ambience good food We enjoyed ur food And staff also too friendly Food was really good We found such a great hotel in Kakinada Thnx sarovar group Ms Durga and Satya wonderful service and welcomeThe ambience and hospitality has been great compared to other places in Kakinada. The food and drinks on the 7th floor is really good. Would def recommend others to visit and stay in this place. I myself live in Kakinada and visit this place for occasions with family and friends. I’ve enjoyed at all times.,0.7,1
84,Royal Park Hotel,913.5,17.03214,82.25021,Hotel,Kakinada,4742,https://www.tripadvisor.in/Hotel_Review-g1584832-d1643218-Reviews-Royal_Park_Hotel-Kakinada_East_Godavari_District_Andhra_Pradesh.html,"The Hotel is very Good & Well Maintained and the staff were Good & Humble.. Food is too Good.. We had a Very Tasty Food at our Stay in the Hotel.. I Love to Visit this Hotel again without any Hesitation..Reception staff is good, House keeping staff also good Ms.Manjula is good behaviour with guests and overall hospitality is excellent Rooms are very clean and restaurant also very good really happy to be stay hereThe reception staff were very gud specifically Jharna nd Manjula the food was also very nice... I liked the environment very much the buffet was very gud The staff was very nice... I liked it very muchIam so happy to come here ☺️ we are enjoyed very well specially TQs to soujanya she welcoming very politely and she suggest buffet , buffet is very attractive item live starters , Live icecream counter . The staff is has very helpfull nature .tqs so much to all well done 👍Good Hotel. Clean Rooms Good Breakfast. Good variety for both veg and non-vegetarian. Good Food (Dinner). It was spicy for me. Overall it was good. Can make a little bit less spicy. Overall a Good Hotel at Good Price.An average all good. Good service provider and staff is co-operative with customers. I would like to mention the name one of staff who attended my check in/ check out in hotel Ms Sirisha very nice personAmbience was good. Staffs were very nice. Considerable for a stay.Food was nice though.For the Seafarers who are joining in kaninada it will be a nice place to ease urself. Staff Srisha was very nice and polite for any queries.That was my first time business trip visiting Kakinada, Andhra Pradesh, India. After a long haul flight from Jakarta-Dubai, I finally arrived in this hotel 28 Feb/2022 evening for 9 night quarantine. And also i stayed again in this hotel the next month on 28/March/2022 for transiting purpose after offshore job. I got a good first impression to this Royal Park Hotel. Big building, well organized from the front desk, guess sofa, elevator, and the restaurant. The staffs were kind, polite and helpful, especially to the House Keeping team.. I got opportunity to chat and know with one of college student who was on the job training (Mr. Pinku Odlish) During my 12 days stay, i ordered room service meal all the time. And amazed with the 'big portion' of food delivered. my room was on…The hotel was nice and stay was comfortable. Food quality and quantity were upto mark with charges.. Overall very satisfied with the stay. I recommended to go and stay in Royal park you will love it..Been staying at this hotel for almost 10 years now and though the property is now showing its age, but the service remains good. Hopefully they will renovate soon to compete effectively with the newer hotels like GRT and Svenska.",0.42,2
85,Hotel Anand Regency,556.5,17.05087,82.26495,Hotel,Kakinada,1269,https://www.tripadvisor.in/Hotel_Review-g1155908-d1185423-Reviews-or15-Hotel_Anand_Regency-Rajahmundry_East_Godavari_District_Andhra_Pradesh.html,"this is well known hotel in rajahmundry. it is very convenient to stayed here and reach to this hotel is very easy. in this hotel satff are very friendly and rooms are very clean and providing a superb hospitalityA very good hotel, convenient location to reach,very helpful front desk as well as travel desk.The choice of room proved good since they provided proper extra bed for our child.Had all the toilet accessories, hot and cold water and a small fridge too. Very affordable rates of food, laundry facilities. They also gave us a very good affordable tour package as well as good car for local sight seeing.Not to forget, pick-up and drop facility options to and fro to the rly station was made available on a single phone call in wee hours with out much fuss. The pot coffee brought by room service was excellent. The best feature is very good breakfast and daily fruit plater which is complementary.Even at the day of check out, complementary breakfast was provided, which was a very good…From the time I stayed in this hotel for the very first time in 2009, quite a few things have changed. The place certainly looks quite old & needs a makeover soon. Spa & bar services have been discontinued. Attitude of the staff in the restaurant could be better. However, the room was quite comfortable & overall service standards were acceptable. The travel desk was also good.Its great to have friendly staff who are hospitable and ready to help you with the smallest of things, but the rooms need some work done on them. After all, that is the place you spend the most in a hotel. I booked a deluxe room, none of which had a king size bed. Its 2 single beds, which could be combined together on request. But the mattress is in such a way that a big gap is left in between which makes it difficult for couples to sleep in. We requested the manager for an upgrade and we were ready to pay the difference, but unfortunately there were no rooms available. This has been a pretty bad experience for us. Even the rooms smelled of dampness that come from those old buildings. Even the AC doesn't have a controller. Its just Switch on and off. Overall, I had expected…Some times a phrase ""re innovating the wheel"" sounds unrealistic but the subject property like effecinet professional teams make it miraculously possible. I think (not sure exact year) stayed with this property in 1999 for two days and again after two decades, it is happened to visit for my daughter's examination. Wondered that the administration, cleanliness, interior and all amenities maintaining in a broad customer delight manner. Food is yummy, wash room, faucets, AC maintaining effectively well. Travel desk is so friendly and drivers are so respectful/professional. love to stay again for my summer vacation.Really, the experience was superb...I have been in some other hotels in rajahmundry but this was the better and best both.. would like to be here again..front view was awesome in the morning... services are quick...they have solutions for everything..they go out of the way if someone need some help.. Keep it up Anand regency All the very bestHotel Anand Regency takes you to a time when India was a more hospitable space , when the staff listened to you , cared about what you said , it was Athithi Devo Bhava . It is very well located and we just walked in and were given a very good welcome and warm sign in by the Reception , and the waiter who showed us the rooms did a great job of showing the whole variety , not pushing any agenda . The room service was good and they have a great laundry !An excellent hotel to stay in rajahmundry .Well located close to the town. Good food and courteous staff. Spacious rooms with amenities like wifi, cable TV ,tea kettle , cut fruits etc. good menu with nice South Indian dishes. Nice gym.competitive room tariff .hotels own taxi service is good. Free pick up and drop by hotel.very accommodative hotel staff.I stay for at least two weeks whenever I visit rajahmundry .its a home away from home.rajahmundry is a nice town on the banks of Godavari river. Good places to visit around rajahmundry .Excellent place, worth the money . Ambience and location is fantastic. Facilities are great. Staff is very warm and cooperative. Service is slightly slow. So need to order everything with the cushion. Value for money. 😊👌👍Good location which is in the middle of the city, clean, rightly sized and comfortable rooms,affordable tariff, good food and very friendly staff with prompt service. A perfect combination of all the factors you will look for in a hotel. Highly recommended.",0.5,2
86,Rvr Sarovar Portico Dindi,365.0,16.95805,82.24312,Hotel,Kakinada,963,https://www.tripadvisor.in/Hotel_Review-g24132846-d20002635-Reviews-Rvr_Sarovar_Portico_Dindi-Ramarajulanka_East_Godavari_District_Andhra_Pradesh.html,"Location are awesome.... we can visit this place with family friends and couples as well ... we can have a lot of fun .. evening sunset is gud to see from here ...also staff are very friendly... evening entertainment is good we can enjoy a lot .... thanks to All staff Venkat garu reception House keeping Restaurant service teamGreat experience in swimming and Life guard services are good... swimming pool spotted in between beautiful greenery gardens surrounded. And activities specially dancing program is awesome with danceable steps. Thanks Reception team (venkat) House keeping department (ranjit and team)I had a very great time at this rvr sarovar portico dindi resort .The management and the holiday adventures crew are very friendly explaining each and every thing...had a great time ... Holiday activies department (eswar dance master,pool boy ravi,adventures ravi teja) - they are too friends and very goodThe resort is very excellent and the service is too good I have a very great experience and entertainment at pool place and I loved the adventures games like shooting games Holiday activities department (eswar dance master , pool boy Ravi and adventures ravi teja They are very friendly with us and understanding ❤️‍🩹Property is well established, with lush greenery, lovely rooms and pool view cottages. Staff is courteous. Special mention for Eswar Dance Master who took great interest in teaching us dance moves during 1-hour session. He is one hell of a dancer.This place is like a heaven on earth. It has all the bucket list like lotus ponds, international multi cuisine restaurant, horse ride, water activities, cycle ride, adventure rides and what not . And here comes the interesting part of the story.... surprise...surprise... there is this interesting dance Master who teaches amazing dance moves. And it is like cherry on top of the cake. His name is Eshwar and made our trip very entertaining and energetic... brilliant... Over experience is out of this world.. please do come visit this place.Had a great experience with people and the open nature of Dindi, nice time to have a get-together and peace of mind at this location. A great place for a newly married couple and for people who would like to have their own personal spaceThis is a wonderful place! We zeroed on to this resort for our (JNTU-K Class of 1981 - Kakinada Engineering College) Reunion Meet. All of us (total 50 pax) left the place with lots & lots of cherishable moments - Hale & Happy. We spent there from 8th Jan to 10th Jan 2023. Right from welcome & check-in till we all checked-out and seen off, the hospitality, warmth and attention to the last detail with which the Resort Management & Staff treated us is impeccable. Everyone of us had the same experience. Personally, I feel this is the best Resort in Andhra Pradesh - the Facilities, Hygiene and Cleanliness are the best. To top it all, the Food served is of top class with authentic Andhra Special Dishes (as per our choice) custom prepared keeping in view our group age & taste. Mr.…Exceptional Location, Exceptional Architecture, Exceptional Food and Efficient Staff ! Visited with Family. Lot of Activities available inside premises . Access to bank of Godavari. Rooms are Spacious and Clean. Special thanks to General manager of this beautiful property for maintaining the ""Gem Of Tropical Resort"".Club Mahendra Dindi is a wonderful resort having beautiful lily pond having the largest lily leaves. It has several in house and outdoor activities amidst peaceful riverside ambience. Chef Satish deserves special appreciation for customising the food with local flavours for three days we stayed here We look forward to come again with larger group Sunil Ghiya",0.6,1
87,Venky Residency,324.0,16.85924,81.93667,Hotel,Kakinada,2491,https://www.tripadvisor.in/Hotel_Review-g1584832-d3175945-Reviews-Venky_Residency-Kakinada_East_Godavari_District_Andhra_Pradesh.html,"Waste means waste hotel in Kakinada they are not allowing visitors to hotel.. If you book the room some one will come may be friends or parents they are not allowing visitors don't choose this.. And f&b service is nice and housekeeping is quick service thnks HK team..Went to this hotel for a quick stay. Worth the money. Clean and good rooms. The small balcony was an added surprise. Overall a good experience. Check in was quick and efficient. Bed was comfy and there were added aminitiesBest for family and good atmospheric experience. Restaurant was awesome very nice cuisine. The staff was very good and the receiving of the staff was so nice so pooite and quick reactions will be there by management.Good at service and food tastes good...pleasant environment here make us feel good...service is fast....homely....staff interaction is good.....food is clean and hygienic....interior is good....spacious and comfortableGood at service..Food tastes good... Feeling better to come with friends... Enjoyed a lot...Cool environment... Food tastes delicious... pleasant environment.. comfortable..Quick service..Staff interaction is goodI recently visited kakinada for my business trip I stayed here in this hotel. It was a wonderful experience ans it was well cleaned and nicely maintained. I have got a ful satisfied service over here.Based on a three star rating given by another travel site we booked a ""Superior room"" at this hotel. I wish the ratings and reviews are a bit honest. Its not a hotel in any sense but may be a glorifed choultry. Courtesy, service and cleanliness are unknown at this place. The bed was made once during our four day stay and room cleaning was suspect. There was a double bed with a mattress and thin worn out pillows. No other furniture except a couple of plastic chairs. Room service was pathetic. Prices were very high and not worth a fraction of the value. Wifii was provided. Every time we went out for our meetings or work, the only question we had to answer the young receptionist is ""are you checking out"", inspite of our paying the entire bill in advance to confirm the room…Good staff. Centrally located. Safe for families. Housekeeping managed by women. It should make single women guests safe. Below average breakfast. No tea/coffee kit. Breakfast only after 8.30 AM. They claim 7.30AM. Okay hotel. Their banquet business is good.This is one of the best places for lodging in Kakinada and booking this room online is cheaper than offline.Facilities are good and there are function halls inside if anything has to be planned and food is decentRecently I visit Venky residency with my friends to take a dinner there ,we enjoyed the meal it's very tasty ,we are impressed with the service of their staff .as the price is concerned it was economy .",0.34,0
